No,Preset Name,Aesthetic Family,Keywords,Design Variance,Motion Intensity,Visual Density,Heading Font,Body Font,Spacing Scale,Border Radius,Motion Curve,Color Mood,Best For,Avoid For,CSS Tokens,AI Prompt Keywords,Reference Sites,Anti Patterns
1,Editorial Magazine,editorial,"serif headlines, grid-based, wide margins, large hero image, photo-driven, magazine layout, drop caps, pull quotes",4,3,3,"Playfair Display, GT Sectra, Tiempos","Inter, Source Sans, Untitled Sans",1.25x,4px-8px,"cubic-bezier(0.4, 0, 0.2, 1) 400ms","mixed light/warm neutral","content sites, blogs, journalism, portfolio long-form, editorial brands","SaaS dashboards, e-commerce checkout, data apps","--space-base: 1.25rem; --radius: 4px; --shadow: 0 1px 2px rgba(0,0,0,0.04); --max-width: 720px; --line-height-body: 1.7","Editorial magazine layout with serif headlines, wide margins, photo-driven hero, drop caps on first paragraph, pull quotes, sans-serif body for readability, max-width 65-75ch","nytimes.com, theverge.com, medium.com","no neon colors, no hard shadows, no dense grids"
2,Swiss Minimal,minimal,"sans-serif, grid strict, monochrome, whitespace, functional, neutral, Helvetica-inspired, high contrast",2,2,2,"Inter, Geist, Neue Haas","Inter, Geist, Söhne",1.5x,0-2px,"cubic-bezier(0.16, 1, 0.3, 1) 200ms","monochrome high contrast","SaaS docs, developer tools, enterprise, professional services","entertainment, kids products, experimental art","--space-base: 1.5rem; --radius: 2px; --shadow: none; --font-weight-heading: 600; --letter-spacing-tight: -0.02em","Swiss minimal design with strict 12-column grid, sans-serif throughout, monochrome palette, generous whitespace, no shadows, subtle hover states, functional over decorative","linear.app, stripe.com/docs, vercel.com","no gradients, no rounded-xl, no playful illustrations"
3,Soft Luxury,luxury,"premium, expensive, elegant, spring animation, soft neutral, cream, beige, gold accent, serif display",3,6,2,"Canela, GT Super, Ogg","Untitled Sans, Suisse Int'l, Inter",2x,8px-16px,"spring(stiffness: 150, damping: 18)","warm cream, sage, sand, muted gold","luxury brands, wellness, boutique hotels, high-end fashion, spa, fine dining","mass market, kids, technical docs","--space-base: 2rem; --radius: 12px; --color-bg: #F7F3EE; --color-accent: #B8965C; --shadow: 0 4px 24px rgba(0,0,0,0.04)","Soft luxury aesthetic with cream backgrounds, serif display fonts, generous spacing 2x baseline, spring animations on hover, gold or sage accents, subtle shadows, premium feel","aesop.com, byredo.com, jacquemus.com","no bright primary colors, no sharp corners, no hard motion"
4,Neo Brutalism,brutalist,"bold borders, hard shadows, primary colors, chunky, playful brutalism, offset shadows, pop art",7,5,5,"Space Grotesk, Archivo Black, Clash Display","Inter, IBM Plex Sans",1x,0px,"cubic-bezier(0.68, -0.55, 0.27, 1.55) 180ms","vibrant primary + white + black","playful brands, indie SaaS, creator tools, Gen Z products","enterprise, finance, healthcare, corporate","--space-base: 1rem; --radius: 0px; --border: 3px solid #000; --shadow: 6px 6px 0 #000; --color-accent: #FFEB3B","Neo-brutalism with thick black borders 3-4px, hard offset shadows 6x6 no blur, bright primary colors yellow/pink/cyan, no border-radius, bouncy hover transforms translate+rotate","gumroad.com, figma community, basecamp.com","no soft shadows, no gradients, no rounded corners"
5,Y2K Revival,retro,"chrome, holographic, glossy, translucent, bubble text, early 2000s, aqua, iridescent, tech nostalgia",8,7,5,"Space Grotesk, VT323, Syne","Inter, Space Mono",1x,16px-24px,"cubic-bezier(0.34, 1.56, 0.64, 1) 300ms","iridescent chrome + neon","creative portfolios, music/art platforms, nostalgia brands, fashion experimental","B2B, enterprise, medical, financial",'--space-base: 1rem; --radius: 20px; --gradient-chrome: linear-gradient(135deg, #C0C0C0, #E8E8E8, #FFFFFF, #C0C0C0); --color-accent: #00D9FF','Y2K aesthetic with chrome gradients, holographic effects, glossy pill buttons, iridescent text effects, bubble-shaped containers, aqua and hot pink palette, retro-futurist',"2000s Apple iPod pages, bratz archives, frog.co","no flat design, no muted colors, no sharp corners"
6,Glassmorphism Modern,glass,"frosted glass, backdrop blur, translucent, vibrant bg, layered depth, iOS-inspired",5,6,4,"SF Pro Display, Inter, Satoshi","SF Pro Text, Inter",1.5x,16px,"cubic-bezier(0.25, 0.1, 0.25, 1) 350ms","vibrant background + translucent foreground","modern SaaS, fintech, mobile apps, lifestyle","accessibility-critical, performance-limited, low-end devices","--space-base: 1.5rem; --radius: 16px; --backdrop-blur: 20px; --glass-bg: rgba(255,255,255,0.08); --glass-border: 1px solid rgba(255,255,255,0.18)","Glassmorphism with backdrop-filter blur 20px, translucent cards rgba 8-15% opacity, vibrant gradient backgrounds, subtle borders 1px white 18%, layered z-depth for hierarchy","apple.com/macos, arc.net, linear.app features","no low contrast on glass, no backdrop-filter fallback missing"
7,Immersive Storytelling,immersive,"scroll-driven, parallax, pinned sections, cinematic, video bg, fullscreen, GSAP timeline, scroll snap",8,9,3,"Söhne Breit, Druk, Neue Haas Grotesk Display","Inter, Söhne Buch",2x,0-4px,"GSAP ease: expo.out 1200ms, scroll-linked","dark cinematic + accent color","agency sites, product launches, creative showcases, storytelling brands","content-heavy, admin panels, forms-first apps, SEO-critical blog","--space-base: 2rem; --radius: 0px; --bg: #0A0A0A; --color-fg: #F5F5F5; --accent: single vivid","Immersive scroll storytelling with pinned sections, horizontal scroll, parallax depth layers, video backgrounds, SplitText character reveals, Lenis smooth scroll, GSAP ScrollTrigger","apple.com/macbook-pro, igloo.inc, awwwards winners","no content above fold hidden, no motion for motion-sensitive users missing prefers-reduced-motion"
8,Dashboard Dense,dashboard,"data-heavy, tables, charts, sidebar nav, compact rows, tabular, operational, grids",3,2,9,"Inter, Geist","Inter, IBM Plex Sans, JetBrains Mono",0.85x,4px-6px,"cubic-bezier(0.2, 0, 0.2, 1) 120ms","neutral gray + semantic colors","analytics, admin panels, financial dashboards, ops tools, monitoring","marketing sites, storytelling, hero-driven landing","--space-base: 0.85rem; --radius: 4px; --font-size-base: 14px; --line-height-body: 1.45; --row-height: 36px","Dense dashboard with sidebar navigation, data tables 36px rows, charts, compact spacing 0.85x scale, semantic colors green/red/amber for status, fast hover transitions 120ms, tabular figures","grafana.com, datadoghq.com, linear insights, retool","no decorative shadows, no large hero images, no slow transitions"
9,Playful Illustrated,playful,"custom illustrations, rounded shapes, friendly, cheerful, colorful, hand-drawn, mascots, onboarding",6,5,4,"Recoleta, Satoshi, GT Walsheim","Inter, Nunito",1.5x,24px,"cubic-bezier(0.34, 1.56, 0.64, 1) 400ms","cheerful multi-color pastels","consumer apps, onboarding, kids products, education, creator tools","enterprise, finance, medical, serious B2B","--space-base: 1.5rem; --radius: 24px; --color-primary: #FF6B6B; --shadow: 0 8px 32px rgba(255,107,107,0.2)","Playful illustrated style with custom SVG illustrations, heavy rounded corners 24px, cheerful pastel palette, bouncy micro-interactions, friendly mascots, hand-drawn accents","notion.so marketing, dropbox.com, mailchimp.com","no stark minimalism, no monochrome, no hard corners"
10,Monochrome Industrial,brutalist,"black and white, industrial, mono typography, thin rules, architectural, print-inspired, raw",5,3,3,"Söhne Mono, JetBrains Mono, Space Mono","IBM Plex Mono, Inter",1.5x,0px,"linear 150ms","pure black + white + single accent","architecture, fashion avant-garde, industrial brands, archives, galleries","family brands, kids, wellness, entertainment","--space-base: 1.5rem; --radius: 0px; --color-bg: #0A0A0A; --color-fg: #FAFAFA; --border: 1px solid currentColor","Monochrome industrial with pure black and white, monospace throughout, thin 1px borders, no shadows, architectural grid, print-inspired type locked, single accent color maximum","berghain, issey miyake archives, architectural magazines","no soft colors, no decorative curves, no playful animations"
